meaning,name
"- adjective
+ diễn cảm
",expressive
"- noun singular
+ thể dục; sự rèn luyện
",gymnastics
"- noun
+ anh chàng; gã
+ dây thừng
",guy
"- noun
+ cuộc biểu diễn thể dục thể thao
",gymkhana
"- noun
+ rãnh nước
",gutter
"- adjective
+ luyện tập và huấn luyện thể dục
",gymnastic
"- noun
+ phòng tập thể dục
",gymnasium
"- noun
+ huấn luyện viên thể dục
",gymnast
"- noun
+ phòng tập thể dục
",gym
"- noun
+ giày thể dục
",gym shoe
"- adjective
+ buồn đứt ruột
+ đã bị hỏng bên trong
",gutted
"- noun plural
+ cái bụng
",guts
"- noun
+ ruột
+ dây ruột mèo
- verb
+ moi ruột
+ phá huỷ
",gut
"- adjective
",gusty
"- noun
",gustiness
"- adverb
",gushingly
"- noun
+ tràn đầy nhiệt tình
",gusto
"- adverb
",gustily
"- adjective
+ tuôn ra hàng tràng
",gushing
"- verb
+ phọt ra
+ phun ra hàng tràng
- noun
+ sự phun ra
",gush
"- noun
+ giáo trưởng ở Ấn Độ
+ người có uy tín
",guru
"- noun
+ con người
",human being
"- noun
+ cơn gió mạnh
",gust
"- adjective
+ thuộc con người
- noun
+ con người
",human
"- verb
+ ngậm miệng ngân nga
+ kêu vo ve
+ hoạt động mạnh
- noun
+ tiếng ậm ừ; tiếng vo ve
",hum
"- noun
+ thân tàu
",hull
"- noun
+ tiếng ồn ào
+ sự rùm beng
",hullabaloo
"- noun
+ thân một con tàu cũ
+ người to xác
",hulk
"- adverb
+ rất lớn; rất nhiều
",hugely
"- noun
",hugeness
"- verb
+ ôm chặt; ghì chặt
+ đi sát
- noun
+ sự ôm chặt; ghì chặt
",hug
"- adjective
+ khổng lồ
",huge
"- adjective
+ đang trong cơn giận dữ
+ dễ nổi giận
",huffy
"- noun
",huffiness
"- adverb
",huffily
"- noun
+ màu; sắc thái
",hue
"- noun
+ sự ồn ào huyên náo
+ sự náo loạn; sự om xòm
",hubbub
"- written abbreviation
+ danh hiệu của công chúa và hoàng tử
",HRH
"- noun
+ trục bánh xe
+ trung tâm
",hub
"- written abbreviation
+ giờ
",hr
"- verb
+ túm tụm
+ nằm cuộn tròn
- noun
+ đám đông; đống (mớ) lộn xộn
",huddle
"- noun
+ sai lầm lớn
",howler
"- abbreviation
+ tổng hành dinh
",HQ
"- verb
+ rú; hú
+ rít (gió)
- noun
+ tiếng rú; tiếng hú
",howl
"- adverb
+ tuy vậy; song
+ bằng cách nào; bằng biện pháp nào
+ dù như thế nào
- conjunction
+ bất kể như thế nào
",however
"- adverb
+ như thế nào
+ tới mức độ nào
+ bằng phương tiện gì
+ tình trạng sức khoẻ; hoàn cảnh thế nào
+ vì lí do gì
",how
"- noun
+ tàu di chuyển nhờ đệm không khí
",hovercraft
"- noun
+ nơi ở rất tồi tàn và dơ dáy
",hovel
"- verb
+ bay lượn
+ lởn vởn
+ do dự
",hover
"- noun
+ tiền trợ cấp nhà ở
",housing benefit
"- noun
+ nhà ở
+ vỏ bọc máy móc
",housing
"- noun
+ công việc nhà
",housework
"- noun
+ khu nhà ở
",housing estate
"- noun
+ bà nội trợ
",housewife
"- verb
+ huấn luyện chó mèo vệ sinh đúng chỗ quy định
",housetrain
"- noun
+ linh cẩu
",hyena
"- noun
+ thủy quyển
",hydrosphere
"- adjective
",hydrophytic
"- noun
+ vòng tuần hoàn nước
",hydrologic cycle
"- noun
+ bom khinh khí
",hydrogen bomb
"- noun
+ Hyđrô
",hydrogen
"- noun
+ thủy sinh
",hydrophyte
"- noun
+ thuỷ điện
",hydroelectricity
"- noun singular
+ thuỷ lực học
",hydraulics
"- adjective
",hydroelectric
"- noun
+ cây lan dạ hương
",hyacinth
"- adverb
",hydraulically
"- noun
",hydration
"- noun
+ cây, vật lai tạo
+ sự lai tạo
+ xe kết hợp nhiều nguồn nhiên liệu
",hybrid
"- noun
+ họng nước
",hydrant
"- adjective
+ thuỷ lực
+ thuộc thuỷ lực
",hydraulic
"- noun
+ hydrat
- verb
+ hydrat hóa
",hydrate
"- noun
+ chuồng thỏ
+ tủ đựng chén bát
",hutch
"- noun
",huskiness
"- noun
+ túp lều
",hut
"- adjective
+ giọng khàn
- noun
+ chó Exkimô
",husky
"- adverb
",huskily
"- noun
+ vỏ khô; trấu
- verb
+ bóc vỏ; xay (thóc)
",husk
"- verb
+ đẩy
+ thúc ép
+ xoay xở
+ bán hoặc kiếm được bằng cách lừa lọc
+ làm điếm
- noun
+ sự xô đẩy; sự hăm hở kiếm tiền
",hustle
"- noun
+ kẻ lừa đảo
+ gái điếm
+ người có nghị lực
",hustler
"- noun
+ bác sĩ thực tập nội trú
",houseman
"- noun
+ công việc quản gia
",housekeeping
"- noun
+ chủ hộ
",householder
"- noun
+ hộ gia đình
",household
"- noun
+ từ cửa miệng
",household word
"- noun
+ quản gia
",housekeeper
"- noun
",housebreaking
"- noun
+ kẻ trộm ngày
",housebreaker
"- noun
+ con ruồi
",housefly
"- noun
+ nhà nổi
",houseboat
"- phrasal verb
+ ỉm đi
",hush up
"- verb
+ lăn mạnh; ném mạnh
",hurtle
"- noun
+ sự quản lý
",husbandry
"- interjection
+ Im nào
- noun
+ sự im lặng
",hush
"- noun
",hurtfulness
"- adjective
+ im lặng
",hushed
"- noun
+ người chồng
- verb
+ tiết kiệm
",husband
"- adverb
",hurtfully
"- verb
+ thúc giục
+ vội vã
- noun
+ sự vội vàng
+ hối hả
",hurry
"- adverb
",hurriedly
"- adjective
+ có hại; gây tổn thương
",hurtful
"- adjective
+ vội vàng
+ bị thúc giục
",hurried
"- verb
+ làm bị thương
+ xúc phạm
+ bị đau
+ làm hại
- adjective
+ buồn; tổn thương
+ bị thương
",hurt
"- phrasal verb
+ nhanh lên
",hurry up
"- noun
+ bão
",hurricane
"- noun
+ tiếng hoan hô
",hurrah
"- verb
+ ném mạnh
",hurl
"- noun
",hurdler
"- noun
+ rào chắn
+ khó khăn cần vượt qua
- verb
+ chạy vượt rào
",hurdle
"- noun
",hurdling
"- noun
+ người đi săn
",hunter
"- noun
+ sự đi săn
",hunting
"- noun
+ người đi săn
",huntsman
"- phrasal verb
+ tìm ra
",hunt out
"- adverb
",hungrily
"- noun
+ miếng to; khúc to
",hunk
"- phrasal verb
+ lùng sục
",hunt down
"- noun
",hungriness
"- verb
+ săn bắn
+ săn đuổi; tìm kiếm
- noun
+ cuộc đi săn
+ cuộc tìm kiếm
",hunt
"- noun
+ cuộc tuyệt thực
",hunger strike
"- adjective
+ đói
",hungry
"- noun
+ tình trạng đói
+ sự đói
+ sự khao khát
- verb
+ khao khát
",hunger
"- noun
+ tạ (ở Anh bằng 50,8 kg, ở Mỹ bằng 45,3 kg)
",hundredweight
"- adjective
+ gấp một trăm lần
",hundredfold
"- number
+ trăm
+ số một trăm
+ tuổi một trăm
- noun
+ hàng trăm
- prefix
",hundred
"- noun
+ người gù lưng
",hunchback
"- noun
+ một phần một trăm
+ thứ một trăm
",hundredth
"- adjective
+ gù lưng, có bướu ở lưng
",hunchbacked
"- noun
+ lưng gù; lưng có bướu
- adjective
+ vòm
",humpback
"- noun
+ biết đùa
+ sự hài hước
- verb
+ làm vừa lòng
",humour
"- noun
+ cái bướu (lạc đà…)
+ mô đất
",hump
"- adverb
",humorously
"- noun
+ người hài hước
",humorist
"- suffix
+ thuộc hài hước
",-humoured
"- noun
+ chim ruồi
",humming bird
"- noun
",humorousness
"- adjective
+ hài hước
",humorous
"- adjective
+ ẩm
",humid
"- noun
",humidity
"- noun
+ thái độ khiếm tốn; sự nhún nhường
",humility
"- adjective
",humiliating
"- verb
+ làm nhục
",humiliate
"- noun
",humiliation
"- noun
+ xương cánh tay
",humerus
"- adjective
+ nhàm chán
",humdrum
"- adjective
+ nhân đạo
- noun
",humanitarian
"- noun
",humanitarianism
"- noun
",humbleness
"- adverb
",humbly
"- adverb
+ trong phạm vi sức mạnh, hiểu biết của con người
",humanly
"- noun
+ lòng nhân đạo
+ loài người
",humanity
"- adjective
+ khiêm tốn; nhún nhường
+ thấp kém; hèn mọn
- verb
+ làm nhục; hạ nhục
",humble
"- adjective
",humanistic
"- noun
",humanist
"- noun
",humaneness
"- noun
+ chủ nghĩa nhân văn
",humanism
"- noun plural
+ cơn ictêri
+ cơn cuồng loạn
",hysterics
"- adverb
",humanely
"- adjective
+ nhân đạo
",humane
"- adverb
",hysterically
"- written abbreviation
+ héc
",Hz
"- adjective
+ cuồng loạn; thuộc chứng ictêri
",hysterical
"- noun
+ chứng ictêri
+ sự cuồng loạn
",hysteria
"- adverb
",hypothetically
"- adjective
+ có tính chất giả thuyết
",hypothetical
"- noun
+ cắt bỏ tử cung
",hysterectomy
"- noun
+ giả thuyết
",hypothesis
"- noun
+ bệnh hạ thân nhiệt
",hypothermia
"- noun
+ cạnh huyền
",hypotenuse
"- noun
+ lớp hạ bì
+ lớp dưới da
",hypodermis
"- noun
+ thuốc tiêm vào dưới da
",hypodermic
"- adjective
",hypocritical
"- noun
+ đạo đức giả
",hypocrisy
"- adverb
",hypocritically
"- noun
+ kẻ đạo đức giả
",hypocrite
"- noun
+ chứng nghi bệnh
",hypochondria
"- noun
+ người mắc chứng nghi bệnh
",hypochondriac
"- verb
+ thôi miên
+ làm mê mẩn
",hypnotize
"- noun
+ thuật thôi miên
",hypnotism
"- adjective
",hypnotic
"- noun
",hypnotist
"- noun
+ sự thôi miên
",hypnosis
